video_id,avg_red,avg_green,avg_blue,brightness,contrast,thumbnail_text,text_word_count,text_sentiment
UtUKi4HUBNY,34.080815972222226,36.6178125,43.34571180555555,38.014780092592595,58.72612981642439,,0,0.0
0PWC69jDOP8,37.773715277777775,31.67814236111111,43.08409722222222,37.5119849537037,63.70540339073052,,0,0.0
0wIpL0cYujQ,29.38001736111111,30.419930555555556,41.579375,33.79310763888889,54.80898365928597,,0,0.0
994ZZm2aX-E,45.24477430555555,23.59140625,23.828802083333333,30.888327546296296,49.698067887160235,,0,0.0
GkDEInsCcpQ,29.958541666666665,29.70203125,36.463541666666664,32.04137152777778,55.12680349127099,,0,0.0
yGl4WRhV4jo,42.09010416666667,38.67300347222222,41.72626736111111,40.829791666666665,58.77213421856267,"tht,",1,0.0
CnJDFokRgx8,30.93340277777778,30.97067708333333,30.292239583333334,30.73210648148148,52.48165192348933,,0,0.0
7gFhn53sN28,31.217256944444443,35.183506944444446,37.42722222222222,34.6093287037037,53.77665922430603,,0,0.0
HLUmjXahFjI,36.19730902777778,42.32333333333333,34.16696180555556,37.562534722222225,60.32461647865989,,0,0.0
yaa4ay10DFY,38.23529513888889,32.849322916666665,35.95708333333334,35.68056712962963,56.17866433146353,,0,0.0
uI7zWAv4gIk,33.41059027777778,27.642934027777777,38.18095486111111,33.078159722222225,59.66143280771032,,0,0.0
3nx-rERfcD0,35.99314236111111,32.74522569444444,32.50272569444444,33.74703125,59.27835443283853,,0,0.0
-9KnIQ-xEnI,37.709201388888886,38.14088541666667,45.095538194444444,40.31520833333333,66.61338084148352,"ee
eC hae",3,0.0
ugrHAowQPfQ,28.95611111111111,31.24940972222222,40.99220486111111,33.73257523148148,56.89126532956301,,0,0.0
zoFjDQr-cqc,47.12394097222222,25.687760416666666,25.109357638888888,32.64035300925926,54.89414002335005,,0,0.0
8ZF4kp9c_Xs,26.933680555555554,32.80439236111111,27.44795138888889,29.062008101851852,50.35288795227334,,0,0.0
6XnPUV7dgY8,41.54927083333333,39.85237847222222,37.83947916666666,39.74704282407407,57.66918286843887,,0,0.0
a1S7xq0sI1o,33.92206597222222,38.63199652777778,44.597934027777775,39.05066550925926,63.08512544347625,,0,0.0
RaVGALUBj30,31.558298611111113,36.482204861111114,41.933055555555555,36.657853009259256,61.487205094213195,,0,0.0
qheSELg3MSw,48.6109375,39.448940972222225,37.44550347222222,41.83512731481481,59.01175891026181,,0,0.0
TSxiQTqEa7o,40.07946180555555,30.482534722222223,31.02378472222222,33.861927083333335,58.63445812901016,,0,0.0
rbCRMlrpFfM,28.572309027777777,30.0059375,38.96149305555556,32.51324652777778,56.19159806043122,"ae
uu",2,0.0
Q-QvTK7jpXg,35.26524305555556,35.34796875,33.12361111111111,34.57894097222222,60.590609335269114,"ieee
Ra L

er",4,0.0
1tC-GFhVd3Y,56.68519097222222,45.53472222222222,48.39395833333333,50.20462384259259,67.30456393885714,,0,0.0
E6N0t3EUBIU,34.05178819444444,34.78307291666667,39.35440972222222,36.063090277777775,60.95986375906902,"Sear ee

iu",3,0.0
eRkVuZ2cD0M,32.174045138888886,32.164652777777775,37.18100694444445,33.83990162037037,60.40445383642963,ni,1,0.0
EeAEiSSNqpQ,31.074774305555554,35.56413194444445,31.151857638888888,32.596921296296294,54.87606874655963,,0,0.0
gUtxZANJRWM,32.97456597222222,31.787118055555556,32.760295138888885,32.50732638888889,55.997500084990136,"i ate

TTL Ae",4,0.0
8-TO8NODmUk,30.698489583333334,30.90484375,31.397621527777776,31.000318287037036,54.85878013591393,,0,0.0
6PEMkssIHvo,27.397586805555555,26.532569444444444,36.72024305555556,30.21679976851852,51.893848596591155,,0,0.0
R9-AFu_ps_8,35.805416666666666,34.1903125,33.34361111111111,34.44644675925926,59.731069100148396,,0,0.0
Fje3dRlehes,43.97059027777778,29.547864583333332,26.760190972222222,33.42621527777778,54.64669092418054,,0,0.0
gI1xTBJqpOk,30.424479166666668,38.02394097222222,48.77317708333333,39.07386574074074,64.14644699364027,,0,0.0
oRnjlxLBeB8,46.52262152777778,33.433315972222225,43.40680555555556,41.12091435185185,64.11072938888678,,0,0.0
XnzhH-kRkqo,30.884027777777778,27.162604166666668,34.778020833333336,30.941550925925927,56.22299288203313,,0,0.0
b3un1WqwBUM,30.67078125,33.16633680555555,41.93586805555555,35.257662037037036,61.16687177604609,mii,1,0.0
7rv-1EPRmhg,33.65638888888889,32.485798611111115,34.10465277777778,33.415613425925926,60.24592326547764,"ree
ws",2,0.0
CZWUBtmfhJU,34.36456597222222,37.619045138888886,40.34993055555555,37.44451388888889,63.55084378169615,"IDRPWNING LOVE. *
a ad

TTT",6,0.5
1pI2bk1xw5E,36.716579861111114,25.04371527777778,24.433836805555554,28.731377314814814,51.49374956857174,"i Oe
TM

or Hl : el",7,0.0
9qS68rkG334,41.238055555555555,38.877552083333335,37.251041666666666,39.12221643518519,63.05948102889614,"ae
ite wing
Su td",5,0.0
